Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume,Ticker,Daily_Return
2018-03-26T00:00:00Z,1050.6,1059.27,1010.58,1054.09,3272409,0,1,1050.6,1059.27,1010.58,1054.09,3272409,GOOGL,0.046825034
2018-03-23T00:00:00Z,1051.37,1066.78,1024.87,1026.55,2413517,0,1,1051.37,1066.78,1024.87,1026.55,2413517,GOOGL,-0.026126801
2018-03-22T00:00:00Z,1080.01,1083.92,1049.64,1053.15,3418154,0,1,1080.01,1083.92,1049.64,1053.15,3418154,GOOGL,0.025912035
2018-03-21T00:00:00Z,1092.57,1108.7,1087.21,1094,1990515,0,1,1092.57,1108.7,1087.21,1094,1990515,GOOGL,0.038788397
2018-03-20T00:00:00Z,1098.4,1105.55,1082.42,1095.8,2709310,0,1,1098.4,1105.55,1082.42,1095.8,2709310,GOOGL,0.001645338
2018-03-19T00:00:00Z,1117.76,1119.37,1088.92,1100.07,3076349,0,1,1117.76,1119.37,1088.92,1100.07,3076349,GOOGL,0.003896696
2018-03-16T00:00:00Z,1155.35,1156.81,1131.36,1134.42,2654602,0,1,1155.35,1156.81,1131.36,1134.42,2654602,GOOGL,0.031225286
2018-03-15T00:00:00Z,1149.57,1162.5,1135.66,1150.61,1623868,0,1,1149.57,1162.5,1135.66,1150.61,1623868,GOOGL,0.01427161
2018-03-14T00:00:00Z,1145.8,1159.76,1142.35,1148.89,2033697,0,1,1145.8,1159.76,1142.35,1148.89,2033697,GOOGL,-0.001494859
2018-03-13T00:00:00Z,1171.83,1178,1134.57,1139.91,2129435,0,1,1171.83,1178,1134.57,1139.91,2129435,GOOGL,-0.00781624
2018-03-12T00:00:00Z,1165.05,1178.16,1159.2,1165.93,2129297,0,1,1165.05,1178.16,1159.2,1165.93,2129297,GOOGL,0.022826363
2018-03-09T00:00:00Z,1139.5,1161,1134.29,1160.84,2070174,0,1,1139.5,1161,1134.29,1160.84,2070174,GOOGL,-0.004365614
2018-03-08T00:00:00Z,1117.2,1131.44,1117.2,1129.38,1510478,0,1,1117.2,1131.44,1117.2,1129.38,1510478,GOOGL,-0.027101065
2018-03-07T00:00:00Z,1092.82,1116.2,1089.91,1115.04,1537429,0,1,1092.82,1116.2,1089.91,1115.04,1537429,GOOGL,-0.012697232
2018-03-06T00:00:00Z,1102.1,1105.63,1094.5,1100.9,1169068,0,1,1102.1,1105.63,1094.5,1100.9,1169068,GOOGL,-0.012681159
2018-03-05T00:00:00Z,1078.13,1101.18,1072.27,1094.76,1432369,0,1,1078.13,1101.18,1072.27,1094.76,1432369,GOOGL,-0.005577255
2018-03-02T00:00:00Z,1057.98,1086.89,1050.11,1084.14,2508145,0,1,1057.98,1086.89,1050.11,1084.14,2508145,GOOGL,-0.009700756
2018-03-01T00:00:00Z,1109.54,1111.27,1067.29,1071.41,2766856,0,1,1109.54,1111.27,1067.29,1071.41,2766856,GOOGL,-0.011742026
2018-02-28T00:00:00Z,1122,1127.65,1103,1103.92,2431023,0,1,1122,1127.65,1103,1103.92,2431023,GOOGL,0.030343193
2018-02-27T00:00:00Z,1143.7,1144.25,1116.79,1117.51,2094863,0,1,1143.7,1144.25,1116.79,1117.51,2094863,GOOGL,0.012310675
2018-02-26T00:00:00Z,1131.86,1144.2,1129.34,1143.7,1489118,0,1,1131.86,1144.2,1129.34,1143.7,1489118,GOOGL,0.023436032
2018-02-23T00:00:00Z,1118.66,1129,1108.44,1128.09,1234539,0,1,1118.66,1129,1108.44,1128.09,1234539,GOOGL,-0.013648684
2018-02-22T00:00:00Z,1119.17,1125.46,1105.15,1109.9,1386115,0,1,1119.17,1125.46,1105.15,1109.9,1386115,GOOGL,-0.0161246
2018-02-21T00:00:00Z,1109.1,1136.2,1107.51,1113.75,2024534,0,1,1109.1,1136.2,1107.51,1113.75,2024534,GOOGL,0.003468781
2018-02-20T00:00:00Z,1092.76,1116.29,1090,1103.59,1646405,0,1,1092.76,1116.29,1090,1103.59,1646405,GOOGL,-0.009122334
2018-02-16T00:00:00Z,1093.38,1108.31,1091.55,1095.5,1971928,0,1,1093.38,1108.31,1091.55,1095.5,1971928,GOOGL,-0.007330621
